frame_idx,clk,cnt_frame_start,cap_in,cap_out,bit_errors_out,golden
0,197935,1,5216f3e2,00000000,51,0
1,296599,2,5216f3e2,04922282,51,1
2,395263,3,5216f3e2,04922282,51,1
3,493927,4,5216f3e2,04922282,51,1
4,592591,5,5216f3e2,04922282,51,1
5,691255,6,5216f3e2,04922282,51,1
6,789919,7,5216f3e2,594eeb4c,123,0
7,888583,8,5216f3e2,04922280,124,0
8,987247,9,5216f3e2,04922282,124,1
9,1085911,10,5216f3e2,04922282,124,1
10,1184575,11,5216f3e2,04922282,124,1
11,1283239,12,5216f3e2,04922282,124,1
12,1381903,13,5216f3e2,04922282,124,1
13,1480567,14,5216f3e2,04922282,124,1
14,1579231,15,5216f3e2,04922282,124,1
15,1677895,16,5216f3e2,04922282,124,1
16,1776559,17,5216f3e2,04922282,124,1
17,1875223,18,5216f3e2,04922282,124,1
